video_name,scene_number,resolution,square_size,blocks_to_remove,alpha,neighbor_length,ref_stride,subvideo_length,bitrate,server_runtime,client_runtime,mse_ori_mean,psnr_ori_mean,ssim_ori_mean,vmaf_ori_mean,mse_inp_mean,psnr_inp_mean,ssim_inp_mean,vmaf_inp_mean
Tears_of_Steel_4k,3,640x352,16,10,0.5,2,10,48,422000,1,33,16.30616666666667,36.1675,0.9380666666666667,64.24949775,35.72183333333333,32.8185,0.9269666666666668,58.46139551666668
Tears_of_Steel_4k,3,640x352,16,10,0.5,10,2,12,422000,2,28,16.30616666666667,36.1675,0.9380666666666667,64.24949775,35.6585,32.8385,0.9269666666666667,58.46860571666668
Tears_of_Steel_4k,3,640x352,16,10,0.5,10,2,48,422000,1,35,16.30616666666667,36.1675,0.9380666666666667,64.24949775,35.9955,32.80733333333333,0.9267000000000001,58.468225866666664
Tears_of_Steel_4k,3,640x352,16,10,0.5,10,10,12,422000,2,29,16.30616666666667,36.1675,0.9380666666666667,64.24949775,35.62683333333333,32.84016666666667,0.9269833333333335,58.46569753333333
Tears_of_Steel_4k,3,640x352,16,10,0.5,10,10,48,422000,2,29,16.30616666666667,36.1675,0.9380666666666667,64.24949775,35.61333333333333,32.8455,0.9269333333333333,58.47015833333334
Tears_of_Steel_4k,3,640x352,16,20,0.0,2,2,12,283000,4,41,22.364166666666673,34.7815,0.9267833333333332,54.8329776,104.90216666666669,28.1265,0.9011,44.93233686666667
Tears_of_Steel_4k,3,640x352,16,20,0.0,2,2,48,283000,2,62,22.364166666666673,34.7815,0.9267833333333332,54.8329776,98.4375,28.38183333333333,0.90085,44.955157983333336
Tears_of_Steel_4k,3,640x352,16,20,0.0,2,10,12,283000,1,32,22.364166666666673,34.7815,0.9267833333333332,54.8329776,113.01699999999998,27.889333333333337,0.9013833333333333,44.79724015
Tears_of_Steel_4k,3,640x352,16,20,0.0,2,10,48,283000,2,35,22.364166666666673,34.7815,0.9267833333333332,54.8329776,99.02383333333333,28.368,0.9018333333333334,44.87491931666667
Tears_of_Steel_4k,3,640x352,16,20,0.0,10,2,12,283000,1,28,22.364166666666673,34.7815,0.9267833333333332,54.8329776,99.878,28.404,0.9023833333333333,44.92781371666667
Tears_of_Steel_4k,3,640x352,16,20,0.0,10,2,48,283000,1,34,22.364166666666673,34.7815,0.9267833333333332,54.8329776,96.21500000000002,28.543000000000003,0.9015333333333334,44.99311221666666
Tears_of_Steel_4k,3,640x352,16,20,0.0,10,10,12,283000,2,29,22.364166666666673,34.7815,0.9267833333333332,54.8329776,101.57233333333333,28.334166666666665,0.9022499999999999,44.91734803333333
Tears_of_Steel_4k,3,640x352,16,20,0.0,10,10,48,283000,2,28,22.364166666666673,34.7815,0.9267833333333332,54.8329776,97.98666666666665,28.453500000000002,0.9023833333333332,44.937377233333336
Tears_of_Steel_4k,3,640x352,16,20,0.5,2,2,12,283000,4,45,22.226499999999998,34.809333333333335,0.92685,54.957887750000005,106.27583333333334,28.040833333333335,0.9023499999999999,46.37629054999999
Tears_of_Steel_4k,3,640x352,16,20,0.5,2,2,48,283000,2,64,22.226499999999998,34.809333333333335,0.92685,54.957887750000005,102.46883333333334,28.155000000000005,0.9017999999999998,46.40425833333334
Tears_of_Steel_4k,3,640x352,16,20,0.5,2,10,12,283000,2,32,22.226499999999998,34.809333333333335,0.92685,54.957887750000005,111.17266666666667,27.92366666666667,0.90315,46.27578113333334
Tears_of_Steel_4k,3,640x352,16,20,0.5,2,10,48,283000,2,34,22.226499999999998,34.809333333333335,0.92685,54.957887750000005,100.01749999999998,28.276000000000007,0.9031,46.35496146666666
Tears_of_Steel_4k,3,640x352,16,20,0.5,10,2,12,283000,1,29,22.226499999999998,34.809333333333335,0.92685,54.957887750000005,100.896,28.341999999999995,0.9039666666666667,46.407995166666666
Tears_of_Steel_4k,3,640x352,16,20,0.5,10,2,48,283000,1,34,22.226499999999998,34.809333333333335,0.92685,54.957887750000005,98.51666666666668,28.380000000000003,0.9030166666666665,46.443214266666665
Tears_of_Steel_4k,3,640x352,16,20,0.5,10,10,12,283000,2,28,22.226499999999998,34.809333333333335,0.92685,54.957887750000005,100.79616666666666,28.31116666666667,0.9040833333333332,46.405387366666666
Tears_of_Steel_4k,3,640x352,16,20,0.5,10,10,48,283000,2,30,22.226499999999998,34.809333333333335,0.92685,54.957887750000005,97.73466666666667,28.430833333333336,0.9039666666666667,46.42975925
Tears_of_Steel_4k,3,640x352,16,30,0.0,2,2,12,143000,2,45,39.05866666666667,32.33383333333334,0.9057000000000001,38.86921313333333,579.7625,20.66133333333333,0.8334166666666666,27.28771981666667
Tears_of_Steel_4k,3,640x352,16,30,0.0,2,2,48,143000,1,59,39.05866666666667,32.33383333333334,0.9057000000000001,38.86921313333333,553.5181666666666,20.8015,0.8258833333333334,27.512204150000002
Tears_of_Steel_4k,3,640x352,16,30,0.0,2,10,12,143000,2,29,39.05866666666667,32.33383333333334,0.9057000000000001,38.86921313333333,624.3155,20.374000000000002,0.8383333333333333,26.813114366666664
Tears_of_Steel_4k,3,640x352,16,30,0.0,2,10,48,143000,1,33,39.05866666666667,32.33383333333334,0.9057000000000001,38.86921313333333,601.6045000000001,20.483500000000003,0.8337500000000001,27.201110566666664
Tears_of_Steel_4k,3,640x352,16,30,0.0,10,2,12,143000,2,25,39.05866666666667,32.33383333333334,0.9057000000000001,38.86921313333333,500.7941666666666,21.28233333333333,0.8441499999999998,27.395829233333334
Tears_of_Steel_4k,3,640x352,16,30,0.0,10,2,48,143000,2,33,39.05866666666667,32.33383333333334,0.9057000000000001,38.86921313333333,512.4158333333334,21.1445,0.8386666666666668,27.565009033333336
Tears_of_Steel_4k,3,640x352,16,30,0.0,10,10,12,143000,2,27,39.05866666666667,32.33383333333334,0.9057000000000001,38.86921313333333,516.7905,21.143666666666668,0.8442999999999999,27.337238183333337
Tears_of_Steel_4k,3,640x352,16,30,0.0,10,10,48,143000,1,31,39.05866666666667,32.33383333333334,0.9057000000000001,38.86921313333333,493.2446666666667,21.31333333333334,0.8454333333333334,27.476139866666667
Tears_of_Steel_4k,3,640x352,16,30,0.5,2,2,12,143000,4,46,38.777,32.371833333333335,0.9057999999999999,39.44202596666666,687.4736666666666,19.886833333333332,0.8265,29.508415116666665
Tears_of_Steel_4k,3,640x352,16,30,0.5,2,2,48,143000,2,63,38.777,32.371833333333335,0.9057999999999999,39.44202596666666,711.1013333333335,19.7095,0.8193666666666666,29.66091783333333
