experiment_name,video_name,resolution,square_size,to_remove,alpha,bitrate,server_runtime,client_runtime,smoothing_factor,hnerv_ks,hnerv_enc_strds,hnerv_enc_dim,hnerv_fc_hw,hnerv_reduce,hnerv_lower_width,hnerv_dec_strds,hnerv_conv_type,hnerv_norm,hnerv_act,hnerv_workers,hnerv_batchSize,hnerv_epochs,hnerv_lr,hnerv_loss,hnerv_out_bias,hnerv_eval_freq,hnerv_quant_model_bit,hnerv_quant_embed_bit,propainter_neighbor_length,propainter_ref_stride,propainter_subvideo_length,propainter_mask_dilation,propainter_raft_iter,e2fgvi_step,e2fgvi_num_ref,e2fgvi_neighbor_stride,e2fgvi_savefps,mse_ori_mean,psnr_ori_mean,ssim_ori_mean,vmaf_ori_mean,lpips_ori_mean,mse_inp_mean,psnr_inp_mean,ssim_inp_mean,vmaf_inp_mean,lpips_inp_mean,empty
be7f5579e96ceff51615bf1370ec6c6b,longboard,1280x704,32,0.25,0.75,1637000,733,409,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,4,75,0.001,Fusion6,tanh,3,8,6,,,,,,10,1,4,24,391.3892307692308,22.279423076923077,0.6913846153846155,1.9659640000000005,0.024051766681413195,438.96269230769235,21.889038461538462,0.6928269230769233,2.557078230769231,0.024092288150523673,
e019cc2a93304884c68a5dbbd95f5947,libby,1600x704,32,0.25,0.5,2053000,897,532,0.25,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,4,100,0.001,Fusion6,tanh,10,8,6,8,2,24,2,30,,,,,373.2828571428571,22.480816326530615,0.7462857142857142,11.953880367346938,0.006081443926205398,243.85204081632654,24.332857142857147,0.7658367346938775,6.727007387755101,0.004906426402455032,
1d65bed084995c558fd4bec4e3e1e9cc,dog,1600x352,16,20.0,0.75,1105000,786,306,0.25,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,2,50,0.001,Fusion6,tanh,1,8,6,16,4,48,4,3,,,,,519.6971666666666,21.08466666666666,0.7142,12.10804415,0.008256458052589195,511.1925,21.17683333333333,0.7091999999999998,12.613524633333332,0.007885848203053032,
eb10b4b5486a5529857868b29dbd317c,longboard,960x1072,16,20.0,0.25,1660000,1142,457,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,4,75,0.001,Fusion6,tanh,1,8,6,,,,,,5,1,4,24,215.88365384615383,25.271730769230768,0.8054423076923076,6.939655788461537,0.014221614969965882,484.92500000000007,21.375576923076924,0.7498269230769231,3.94075025,0.017644466590494443,
f14fbf1e9a6c777959a102190ee9dc62,car-turn,960x352,32,0.5,0.5,422000,466,262,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,2,50,0.001,Fusion6,tanh,3,8,6,,,,,,5,1,2,24,476.26237499999996,21.75525,0.62465,0.1620957,0.0496536925900727,1131.91325,18.0665,0.5814875,1.4173307999999998,0.05113954446278508,
33d5d38ae0dcbe68923cd896a31edae2,bike-packing,1600x528,16,0.25,0.5,1538000,1031,511,0.25,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,2,100,0.001,Fusion6,tanh,3,8,6,,,,,,5,1,4,24,96.76507246376812,28.53478260869565,0.8928840579710146,49.47796649275362,0.022699242808680565,1112.1865217391305,17.68898550724637,0.6382318840579712,0.3899893913043479,0.0553468595380368,
f55c059f608b5f6bf9b4d9095549f204,horsejump-high,640x1072,16,0.25,0.25,1257000,497,331,0.75,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,2,75,0.001,Fusion6,tanh,10,8,6,,,,,,5,-1,4,24,263.1536,24.081599999999995,0.81172,6.61098558,0.025004562437534288,491.4158,21.311400000000003,0.76528,0.9915474799999999,0.029166319556534245,
4212fdbd1a2445e077bb02a17b31f186,lindy-hop,1600x352,32,20.0,0.25,834000,760,420,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,2,100,0.001,Fusion6,tanh,10,8,6,8,4,48,4,30,,,,,113.16520547945204,27.703698630136984,0.8793150684931507,36.076281712328765,0.011873636586106753,421.90863013698635,22.011232876712327,0.8064931506849315,7.328632369863013,0.01847575243868643,
3bd5ace7d9645b72811c6c43e140093b,mallard-water,640x352,16,0.5,0.5,283000,624,209,0.25,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,2,100,0.001,Fusion6,tanh,10,8,6,,,,,,5,-1,4,24,300.88525,23.420375,0.6836249999999999,18.9825342,0.05363895557820793,746.0022499999999,19.450875000000003,0.5649875,8.152267975,0.06652046311646695,
c8c0bfc7478e412c108ac2c96b8d38b8,lab-coat,1920x896,32,0.5,0.5,2062000,904,612,0.75,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,2,100,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,4,24,204.00489361702122,25.128936170212764,0.8150425531914891,1.199599510638298,0.022503880070562015,1396.9731914893614,16.737659574468086,0.7522127659574468,1.1610505106382978,0.02418266656867997,
ddff1682c04fbefd29f5f239e5078424,flamingo,960x352,32,0.5,0.25,422000,899,258,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,4,75,0.001,Fusion6,tanh,1,8,6,,,,,,5,1,4,24,245.133625,24.381875,0.7154875,10.607989387500002,0.04912298372946675,1344.98625,16.896749999999997,0.6228374999999999,1.8747290874999998,0.0551888575777411,
e58ec2912e8cb46ea67a9bcdce4c8241,horsejump-high,1280x896,16,10.0,0.75,2388000,669,533,0.25,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,2,75,0.001,Fusion6,tanh,10,8,6,,,,,,10,-1,2,24,264.4462,23.926000000000002,0.7973399999999999,4.11837864,0.029575251899659583,443.5456,21.664399999999997,0.7548600000000001,0.0067047800000000005,0.03397804670035834,
603813ab19e0f30c444256ecc9022006,hockey,1920x1072,16,10.0,0.25,4278000,1551,1244,0.75,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,4,50,0.001,Fusion6,tanh,3,8,6,,,,,,5,1,2,24,119.5788,27.526133333333334,0.8647733333333332,2.8692930933333334,0.009917417708784298,239.9024,24.401733333333336,0.82976,0.0,0.011660914427290302,
15e9f3ab20170f467c6255d292ad6db6,cat-girl,640x528,16,0.5,0.25,422000,433,285,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,4,50,0.001,Fusion6,tanh,3,8,6,,,,,,5,1,4,24,430.1105617977528,21.915168539325844,0.6698539325842696,4.259496584269663,0.03502180582184466,1621.932247191011,16.1076404494382,0.5791460674157303,10.06573486516854,0.03638521148666233,
