video_name,scene_number,resolution,square_size,percentage_to_remove,alpha,neighbor_length,ref_stride,subvideo_length,bitrate,server_runtime,client_runtime,mse_ori_mean,psnr_ori_mean,ssim_ori_mean,vmaf_ori_mean,mse_inp_mean,psnr_inp_mean,ssim_inp_mean,vmaf_inp_mean
Tears_of_Steel_4k,3,640x352,16,0.5,1.0,2,10,48,283000,1,22,22.247833333333336,34.80466666666667,0.9268666666666666,55.26340964999999,102.42599999999997,28.16533333333333,0.9034333333333334,46.717287066666664
Tears_of_Steel_4k,3,640x352,16,0.5,1.0,10,2,12,283000,1,20,22.247833333333336,34.80466666666667,0.9268666666666666,55.26340964999999,104.79316666666665,28.16016666666667,0.9039999999999999,46.76186736666667
Tears_of_Steel_4k,3,640x352,16,0.5,1.0,10,2,48,283000,1,23,22.247833333333336,34.80466666666667,0.9268666666666666,55.26340964999999,100.38733333333334,28.304000000000006,0.9031,46.792062566666665
Tears_of_Steel_4k,3,640x352,16,0.5,1.0,10,10,12,283000,1,20,22.247833333333336,34.80466666666667,0.9268666666666666,55.26340964999999,104.67116666666666,28.163999999999998,0.90405,46.75740343333333
Tears_of_Steel_4k,3,640x352,16,0.5,1.0,10,10,48,283000,2,21,22.247833333333336,34.80466666666667,0.9268666666666666,55.26340964999999,100.99016666666668,28.298666666666666,0.9041,46.77830685
Tears_of_Steel_4k,3,640x352,16,0.75,0.0,2,2,12,143000,4,30,39.14716666666666,32.32283333333333,0.9056166666666668,38.89316349999999,580.3633333333333,20.656833333333335,0.8333499999999998,27.31961805
Tears_of_Steel_4k,3,640x352,16,0.75,0.0,2,2,48,143000,2,32,39.14716666666666,32.32283333333333,0.9056166666666668,38.89316349999999,552.928,20.806,0.8258833333333334,27.54588053333333
Tears_of_Steel_4k,3,640x352,16,0.75,0.0,2,10,12,143000,1,21,39.14716666666666,32.32283333333333,0.9056166666666668,38.89316349999999,623.948,20.376666666666665,0.8384,26.836878233333334
Tears_of_Steel_4k,3,640x352,16,0.75,0.0,2,10,48,143000,2,22,39.14716666666666,32.32283333333333,0.9056166666666668,38.89316349999999,601.7155,20.483500000000003,0.8337333333333332,27.223212
Tears_of_Steel_4k,3,640x352,16,0.75,0.0,10,2,12,143000,1,20,39.14716666666666,32.32283333333333,0.9056166666666668,38.89316349999999,501.12916666666666,21.279166666666665,0.8442000000000001,27.415392066666666
Tears_of_Steel_4k,3,640x352,16,0.75,0.0,10,2,48,143000,2,22,39.14716666666666,32.32283333333333,0.9056166666666668,38.89316349999999,512.447,21.144166666666667,0.8386833333333334,27.592561516666667
Tears_of_Steel_4k,3,640x352,16,0.75,0.0,10,10,12,143000,1,19,39.14716666666666,32.32283333333333,0.9056166666666668,38.89316349999999,517.8575,21.133666666666667,0.8443666666666666,27.36307441666667
Tears_of_Steel_4k,3,640x352,16,0.75,0.0,10,10,48,143000,1,20,39.14716666666666,32.32283333333333,0.9056166666666668,38.89316349999999,493.3306666666666,21.31533333333334,0.8453666666666667,27.50152225
Tears_of_Steel_4k,3,640x352,16,0.75,0.5,2,2,12,143000,3,30,39.148833333333336,32.32516666666667,0.9055833333333332,39.030989366666674,679.1861666666666,19.94033333333333,0.8269333333333333,29.520540583333332
Tears_of_Steel_4k,3,640x352,16,0.75,0.5,2,2,48,143000,1,33,39.148833333333336,32.32516666666667,0.9055833333333332,39.030989366666674,716.1999999999999,19.684999999999995,0.8193,29.637246
Tears_of_Steel_4k,3,640x352,16,0.75,0.5,2,10,12,143000,2,21,39.148833333333336,32.32516666666667,0.9055833333333332,39.030989366666674,701.0163333333333,19.875166666666665,0.8343666666666665,29.201107933333336
Tears_of_Steel_4k,3,640x352,16,0.75,0.5,2,10,48,143000,1,22,39.148833333333336,32.32516666666667,0.9055833333333332,39.030989366666674,749.7751666666666,19.488166666666665,0.8279666666666666,29.442074516666665
