video_name,scene_number,resolution,square_size,horizontal_stride,vertical_stride,neighbor_length,ref_stride,subvideo_length,bitrate,mse_ori_mean,psnr_ori_mean,ssim_ori_mean,vmaf_ori_mean,mse_inp_mean,psnr_inp_mean,ssim_inp_mean,vmaf_inp_mean
Tears_of_Steel_4k,9,1920x1080,16,2,2,5,5,10,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,255.31254901960781,24.321764705882355,0.7299411764705883,13.747211
Tears_of_Steel_4k,9,1920x1080,16,2,2,5,5,15,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,255.26529411764707,24.321960784313728,0.7299803921568627,13.73548988235294
Tears_of_Steel_4k,9,1920x1080,16,2,2,5,5,25,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,255.23686274509808,24.32156862745098,0.7303529411764705,13.829748352941175
Tears_of_Steel_4k,9,1920x1080,16,2,2,5,10,5,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,257.28901960784316,24.29627450980392,0.7287450980392156,13.716826098039219
Tears_of_Steel_4k,9,1920x1080,16,2,2,5,10,10,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,257.2952941176471,24.296078431372543,0.7286862745098039,13.743272960784315
Tears_of_Steel_4k,9,1920x1080,16,2,2,5,10,15,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,257.3474509803922,24.29490196078431,0.7286666666666667,13.70690137254902
Tears_of_Steel_4k,9,1920x1080,16,2,2,5,10,25,1275000,19.400980392156864,35.39098039215686,0.9240980392156863,76.611137,255.22274509803918,24.323725490196082,0.7294313725490196,13.701677509803922
Tears_of_Steel_4k,9,1920x1080,20,2,2,2,2,5,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,151.9827450980392,26.370196078431373,0.7676862745098038,25.380086647058825
Tears_of_Steel_4k,9,1920x1080,20,2,2,2,2,10,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,148.01607843137253,26.478823529411763,0.7694509803921568,26.02032143137255
Tears_of_Steel_4k,9,1920x1080,20,2,2,2,2,15,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,144.07078431372548,26.590980392156855,0.7725294117647059,26.56038378431373
Tears_of_Steel_4k,9,1920x1080,20,2,2,2,3,5,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,153.43019607843135,26.332549019607843,0.768686274509804,24.841461882352945
Tears_of_Steel_4k,9,1920x1080,20,2,2,2,3,10,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,148.3862745098039,26.469019607843137,0.7703725490196077,25.48699074509804
Tears_of_Steel_4k,9,1920x1080,20,2,2,2,3,15,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,142.45529411764704,26.63921568627451,0.7741568627450982,26.418738509803926
Tears_of_Steel_4k,9,1920x1080,20,2,2,2,5,5,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,153.43019607843135,26.332549019607843,0.768686274509804,24.841461882352945
Tears_of_Steel_4k,9,1920x1080,20,2,2,2,5,10,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,143.3978431372549,26.613725490196078,0.7741960784313727,25.810546921568626
Tears_of_Steel_4k,9,1920x1080,20,2,2,2,5,15,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,143.56901960784313,26.60882352941177,0.7740392156862747,25.803544254901965
Tears_of_Steel_4k,9,1920x1080,20,2,2,2,5,25,1266000,19.29705882352941,35.41294117647059,0.9245882352941178,76.73686596078431,137.596862745098,26.786078431372548,0.7778627450980392,26.76611798039216
